supplier,annual_spend,otif_percent,defect_rate_percent,price_variance_percent,avg_response_hours
Meridian Packaging Co.,1840000,96.5,0.8,1.2,6
Northgate Corrugated,2210000,91.2,1.9,3.4,14
Apex Pallet & Crate,640000,88.0,2.6,-1.5,9
Sunbelt Plastics Ltd,975000,82.4,3.8,5.1,22
Harbor Freight Lines,3100000,78.9,0.4,6.8,4
Lakeside Labels Inc.,310000,97.8,0.3,0.0,3
Ironwood Steel Products,1425000,84.6,4.2,2.9,30
Crescent Adhesives,280000,93.1,1.1,1.8,10
Pioneer Safety Supply,520000,89.7,2.2,-0.6,12
Everline Logistics,2760000,71.3,0.2,9.4,36
Redwood Fastener Group,395000,86.9,5.6,4.3,18
Atlas Protective Films,715000,94.4,1.4,2.2,8
Summit Industrial Rubber,460000,79.5,6.9,7.7,41
Bluewater Cold Chain,1290000,90.8,0.9,3.9,7
Keystone Tooling,860000,74.2,3.1,11.5,52
Orion Electronics Supply,1130000,87.3,1.6,0.5,16
Granite Ridge Timber,580000,92.6,2.0,-2.1,20
Vector Print Solutions,240000,95.0,0.6,1.0,5
Delta Wire & Cable,670000,,2.4,3.0,24
Cobalt Chemicals,930000,83.8,n/a,4.6,11
