sku,product_name,current_inventory,open_po_qty,avg_daily_sales,lead_time_days,safety_stock,moq,unit_cost
SKU-1001,Pallet Jack 2.5T,42,0,1.8,21,20,5,289.0
SKU-1002,Stretch Wrap 18in x 1500ft,520,200,22.5,10,120,48,9.85
SKU-1003,Corrugated Box 12x12x12,1450,0,64.0,14,400,250,1.12
SKU-1004,Nitrile Gloves L (100ct),96,240,18.4,28,150,48,7.4
SKU-1005,Safety Vest Hi-Vis L,210,0,1.1,12,15,25,4.95
SKU-1006,Packing Tape 2in (36 rolls),58,0,9.7,7,40,12,31.2
SKU-1007,Wooden Pallet 48x40,420,200,35.0,9,150,100,14.5
SKU-1008,Bubble Wrap 12in x 175ft,64,50,4.2,18,30,10,18.75
SKU-1009,Label Printer Ribbon,22,50,3.1,30,25,10,12.6
SKU-1010,Shipping Label 4x6 (500ct),610,0,41.0,6,150,50,6.3
SKU-1011,Steel Shelving Unit 72in,30,8,0.6,45,8,4,162.0
SKU-1012,Box Cutter Safety Knife,480,0,2.4,14,20,50,3.15
SKU-1013,Hand Truck 600lb,9,6,0.9,35,10,2,118.0
SKU-1014,Poly Mailer 10x13 (500ct),240,150,12.8,20,100,25,22.4
SKU-1015,Void Fill Paper Roll,0,80,6.5,15,50,20,27.9
SKU-1016,Thermal Receipt Paper (50ct),73,0,5.0,11,30,10,19.99
SKU-1017,Strapping Kit Poly 1/2in,38,0,1.3,25,10,5,44.0
SKU-1018,Anti-Slip Floor Mat 3x5,66,0,0.4,40,5,6,39.5
SKU-1019,Barcode Scanner Wireless,36,24,1.6,32,12,4,149.0
SKU-1020,Dock Bumper Rubber,41,0,0.2,60,4,6,58.0
SKU-1021,Forklift Battery Water (5gal),40,0,2.2,10,15,4,21.0
SKU-1022,Pallet Wrap Dispenser,85,0,0.7,14,6,10,26.8
SKU-1023,Cold Chain Gel Pack 16oz,1350,400,48.0,21,300,200,1.45
SKU-1024,Tote Bin 27x17x12 Grey,1230,0,3.9,18,40,60,11.2
SKU-1025,Pallet Corner Boards (100ct),129,100,8.4,24,60,50,34.0
SKU-1026,Marker Paint Yellow (12ct),44,0,0,14,6,12,15.6
SKU-1027,Edge Protector Foam (case),7,0,2.9,19,25,10,41.75
SKU-1028,LED Work Light Magnetic,52,0,1.0,30,10,12,23.9
SKU-1029,Zip Ties 14in (1000ct),19,20,4.6,12,30,10,17.25
SKU-1030,Inventory Tag Wire (500ct),260,0,2.0,16,20,25,9.4
SKU-1031,Ratchet Strap 2in x 27ft,55,,3.0,14,20,,12.8
SKU-1032,Shrink Film Roll 20in,n/a,40,6.0,12,30,10,38.0
